"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-10-25 19:48:51 +02:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Greece,"Syrian Arab Rep.",2010,June,11
Greece,"Syrian Arab Rep.",2010,July,20
Greece,"Syrian Arab Rep.",2010,August,13
Greece,"Syrian Arab Rep.",2010,September,16
Greece,"Syrian Arab Rep.",2010,October,17
Greece,"Syrian Arab Rep.",2010,November,10
Greece,"Syrian Arab Rep.",2010,December,3
Greece,"Syrian Arab Rep.",2011,January,22
Greece,"Syrian Arab Rep.",2011,February,43
Greece,"Syrian Arab Rep.",2011,March,28
Greece,"Syrian Arab Rep.",2011,April,9
Greece,"Syrian Arab Rep.",2011,May,22
Greece,"Syrian Arab Rep.",2011,June,17
Greece,"Syrian Arab Rep.",2011,July,69
Greece,"Syrian Arab Rep.",2011,August,21
Greece,"Syrian Arab Rep.",2011,September,46
Greece,"Syrian Arab Rep.",2011,October,18
Greece,"Syrian Arab Rep.",2011,November,26
Greece,"Syrian Arab Rep.",2011,December,31
Greece,"Syrian Arab Rep.",2012,January,9
Greece,"Syrian Arab Rep.",2012,February,38
Greece,"Syrian Arab Rep.",2012,March,9
Greece,"Syrian Arab Rep.",2012,April,12
Greece,"Syrian Arab Rep.",2012,May,17
Greece,"Syrian Arab Rep.",2012,June,10
Greece,"Syrian Arab Rep.",2012,July,22
Greece,"Syrian Arab Rep.",2012,August,12
Greece,"Syrian Arab Rep.",2012,September,28
Greece,"Syrian Arab Rep.",2012,October,57
Greece,"Syrian Arab Rep.",2012,November,43
Greece,"Syrian Arab Rep.",2012,December,18
Greece,"Syrian Arab Rep.",2013,January,35
Greece,"Syrian Arab Rep.",2013,February,46
Greece,"Syrian Arab Rep.",2013,March,63
Greece,"Syrian Arab Rep.",2013,April,51
Greece,"Syrian Arab Rep.",2013,May,32
Greece,"Syrian Arab Rep.",2013,June,34
Greece,"Syrian Arab Rep.",2013,July,38
Greece,"Syrian Arab Rep.",2013,August,33
Greece,"Syrian Arab Rep.",2013,September,32
Greece,"Syrian Arab Rep.",2013,October,38
Greece,"Syrian Arab Rep.",2013,November,50
Greece,"Syrian Arab Rep.",2013,December,33
Greece,"Syrian Arab Rep.",2014,January,57
Greece,"Syrian Arab Rep.",2014,February,42
Greece,"Syrian Arab Rep.",2014,March,62
Greece,"Syrian Arab Rep.",2014,April,68
Greece,"Syrian Arab Rep.",2014,May,42
Greece,"Syrian Arab Rep.",2014,June,29
Greece,"Syrian Arab Rep.",2014,July,42
Greece,"Syrian Arab Rep.",2014,August,33
Greece,"Syrian Arab Rep.",2014,September,57
Greece,"Syrian Arab Rep.",2014,October,95
Greece,"Syrian Arab Rep.",2014,November,74
Greece,"Syrian Arab Rep.",2014,December,190
Greece,"Syrian Arab Rep.",2015,January,235
Greece,"Syrian Arab Rep.",2015,February,225
Greece,"Syrian Arab Rep.",2015,March,222
Greece,"Syrian Arab Rep.",2015,April,253
Greece,"Syrian Arab Rep.",2015,May,336
Greece,"Syrian Arab Rep.",2015,June,375
Greece,"Syrian Arab Rep.",2015,July,410
Greece,"Syrian Arab Rep.",2015,August,334
Greece,"Syrian Arab Rep.",2015,September,245
Greece,"Syrian Arab Rep.",2015,October,180
Greece,"Syrian Arab Rep.",2015,November,237
Greece,"Syrian Arab Rep.",2015,December,267
Greece,"Syrian Arab Rep.",2016,January,220
Greece,"Syrian Arab Rep.",2016,February,266
Greece,"Syrian Arab Rep.",2016,March,1396
Greece,"Syrian Arab Rep.",2016,April,2224
Greece,"Syrian Arab Rep.",2016,May,2903
Albania,"Syrian Arab Rep.",2012,December,3
Albania,"Syrian Arab Rep.",2013,March,8
Albania,"Syrian Arab Rep.",2013,August,4
Albania,"Syrian Arab Rep.",2013,September,4
Albania,"Syrian Arab Rep.",2013,December,8
Albania,"Syrian Arab Rep.",2014,May,1
Albania,"Syrian Arab Rep.",2014,June,1
Albania,"Syrian Arab Rep.",2014,July,10
Albania,"Syrian Arab Rep.",2014,August,6
Albania,"Syrian Arab Rep.",2014,September,4
Albania,"Syrian Arab Rep.",2014,October,32
Albania,"Syrian Arab Rep.",2014,November,30
Albania,"Syrian Arab Rep.",2014,December,8
Albania,"Syrian Arab Rep.",2015,April,28
Albania,"Syrian Arab Rep.",2015,May,2
Albania,"Syrian Arab Rep.",2015,June,37
Albania,"Syrian Arab Rep.",2015,August,1
Albania,"Syrian Arab Rep.",2015,October,3
Albania,"Syrian Arab Rep.",2016,May,16
Albania,"Syrian Arab Rep.",2016,August,23
Albania,"Syrian Arab Rep.",2016,September,85
Albania,"Syrian Arab Rep.",2016,October,8
Albania,"Syrian Arab Rep.",2017,January,*
Albania,"Syrian Arab Rep.",2017,February,*
Albania,"Syrian Arab Rep.",2017,May,*
Albania,"Syrian Arab Rep.",2017,June,6
Croatia,"Syrian Arab Rep.",2010,December,4
Croatia,"Syrian Arab Rep.",2011,January,5
Croatia,"Syrian Arab Rep.",2011,June,2
Croatia,"Syrian Arab Rep.",2011,October,2
Croatia,"Syrian Arab Rep.",2012,January,1
Croatia,"Syrian Arab Rep.",2012,February,4
Croatia,"Syrian Arab Rep.",2012,April,5
Croatia,"Syrian Arab Rep.",2012,May,8
Croatia,"Syrian Arab Rep.",2012,June,1
Croatia,"Syrian Arab Rep.",2012,July,3
Croatia,"Syrian Arab Rep.",2012,August,4
Croatia,"Syrian Arab Rep.",2012,September,14
Croatia,"Syrian Arab Rep.",2012,October,12
Croatia,"Syrian Arab Rep.",2012,November,15
Croatia,"Syrian Arab Rep.",2012,December,19
Croatia,"Syrian Arab Rep.",2013,January,26
Croatia,"Syrian Arab Rep.",2013,February,13
Croatia,"Syrian Arab Rep.",2013,March,26
Croatia,"Syrian Arab Rep.",2013,April,14
Croatia,"Syrian Arab Rep.",2013,May,20
Croatia,"Syrian Arab Rep.",2013,June,6
Croatia,"Syrian Arab Rep.",2013,July,4
Croatia,"Syrian Arab Rep.",2013,August,10
Croatia,"Syrian Arab Rep.",2013,September,31
Croatia,"Syrian Arab Rep.",2013,October,35
Croatia,"Syrian Arab Rep.",2013,November,6
Croatia,"Syrian Arab Rep.",2013,December,3
Croatia,"Syrian Arab Rep.",2014,January,3
Croatia,"Syrian Arab Rep.",2014,February,8
Croatia,"Syrian Arab Rep.",2014,March,5
Croatia,"Syrian Arab Rep.",2014,April,7
Croatia,"Syrian Arab Rep.",2014,May,3
Croatia,"Syrian Arab Rep.",2014,June,7
Croatia,"Syrian Arab Rep.",2014,July,6
Croatia,"Syrian Arab Rep.",2014,September,10
Croatia,"Syrian Arab Rep.",2014,October,2
Croatia,"Syrian Arab Rep.",2014,November,2
Croatia,"Syrian Arab Rep.",2014,December,1
Croatia,"Syrian Arab Rep.",2015,January,6
Croatia,"Syrian Arab Rep.",2015,February,7
Croatia,"Syrian Arab Rep.",2015,March,1
Croatia,"Syrian Arab Rep.",2015,August,1
Croatia,"Syrian Arab Rep.",2015,September,6
Croatia,"Syrian Arab Rep.",2015,October,4
Croatia,"Syrian Arab Rep.",2015,November,1
Croatia,"Syrian Arab Rep.",2015,December,1
Croatia,"Syrian Arab Rep.",2016,January,*
Croatia,"Syrian Arab Rep.",2016,February,11
Croatia,"Syrian Arab Rep.",2016,March,19
Croatia,"Syrian Arab Rep.",2016,April,14
Croatia,"Syrian Arab Rep.",2016,May,15
Croatia,"Syrian Arab Rep.",2016,June,13
Croatia,"Syrian Arab Rep.",2016,July,10
Croatia,"Syrian Arab Rep.",2016,August,15
Croatia,"Syrian Arab Rep.",2016,September,36
Croatia,"Syrian Arab Rep.",2016,October,108
Croatia,"Syrian Arab Rep.",2016,November,50
Croatia,"Syrian Arab Rep.",2016,December,24
Croatia,"Syrian Arab Rep.",2017,January,11
Croatia,"Syrian Arab Rep.",2017,February,27
Croatia,"Syrian Arab Rep.",2017,March,14
Croatia,"Syrian Arab Rep.",2017,April,23
Croatia,"Syrian Arab Rep.",2017,May,20
Croatia,"Syrian Arab Rep.",2017,June,15
Croatia,"Syrian Arab Rep.",2017,July,17
Ireland,"Syrian Arab Rep.",2010,June,1
Ireland,"Syrian Arab Rep.",2010,July,1
Ireland,"Syrian Arab Rep.",2011,July,2
Ireland,"Syrian Arab Rep.",2011,September,2
Ireland,"Syrian Arab Rep.",2011,October,1
Ireland,"Syrian Arab Rep.",2011,December,4
Ireland,"Syrian Arab Rep.",2012,February,1
Ireland,"Syrian Arab Rep.",2012,March,2
Ireland,"Syrian Arab Rep.",2012,June,1
Ireland,"Syrian Arab Rep.",2012,July,1
Ireland,"Syrian Arab Rep.",2012,August,5
Ireland,"Syrian Arab Rep.",2012,September,2
Ireland,"Syrian Arab Rep.",2012,November,1
Ireland,"Syrian Arab Rep.",2012,December,1
Ireland,"Syrian Arab Rep.",2013,January,3
Ireland,"Syrian Arab Rep.",2013,February,9
Ireland,"Syrian Arab Rep.",2013,March,10
Ireland,"Syrian Arab Rep.",2013,April,2
Ireland,"Syrian Arab Rep.",2013,May,2
Ireland,"Syrian Arab Rep.",2013,July,2
Ireland,"Syrian Arab Rep.",2013,September,6
Ireland,"Syrian Arab Rep.",2013,October,1
Ireland,"Syrian Arab Rep.",2013,November,1
Ireland,"Syrian Arab Rep.",2013,December,1
Ireland,"Syrian Arab Rep.",2014,January,5
Ireland,"Syrian Arab Rep.",2014,February,4
Ireland,"Syrian Arab Rep.",2014,April,2
Ireland,"Syrian Arab Rep.",2014,May,1
Ireland,"Syrian Arab Rep.",2014,June,1
Ireland,"Syrian Arab Rep.",2014,July,3
Ireland,"Syrian Arab Rep.",2014,August,1
Ireland,"Syrian Arab Rep.",2014,September,1
Ireland,"Syrian Arab Rep.",2014,October,3
Ireland,"Syrian Arab Rep.",2014,November,2
Ireland,"Syrian Arab Rep.",2014,December,1
Ireland,"Syrian Arab Rep.",2015,March,2
Ireland,"Syrian Arab Rep.",2015,April,3
Ireland,"Syrian Arab Rep.",2015,May,11
Ireland,"Syrian Arab Rep.",2015,June,1
Ireland,"Syrian Arab Rep.",2015,July,6
Ireland,"Syrian Arab Rep.",2015,August,6
Ireland,"Syrian Arab Rep.",2015,September,21
Ireland,"Syrian Arab Rep.",2015,October,8
Ireland,"Syrian Arab Rep.",2015,November,7
Ireland,"Syrian Arab Rep.",2015,December,9
Ireland,"Syrian Arab Rep.",2016,January,20
Ireland,"Syrian Arab Rep.",2016,February,*
Ireland,"Syrian Arab Rep.",2016,March,5
Ireland,"Syrian Arab Rep.",2016,April,6
Ireland,"Syrian Arab Rep.",2016,May,*
Ireland,"Syrian Arab Rep.",2016,June,28
Ireland,"Syrian Arab Rep.",2016,July,*
Ireland,"Syrian Arab Rep.",2016,August,7
Ireland,"Syrian Arab Rep.",2016,September,34
Ireland,"Syrian Arab Rep.",2016,October,*
Ireland,"Syrian Arab Rep.",2016,November,*
Ireland,"Syrian Arab Rep.",2016,December,128
Ireland,"Syrian Arab Rep.",2017,January,*
Ireland,"Syrian Arab Rep.",2017,February,78
Ireland,"Syrian Arab Rep.",2017,March,56
Iceland,"Syrian Arab Rep.",2010,July,1
Iceland,"Syrian Arab Rep.",2010,October,1
Iceland,"Syrian Arab Rep.",2011,April,1
Iceland,"Syrian Arab Rep.",2012,July,1
Iceland,"Syrian Arab Rep.",2012,August,2
Iceland,"Syrian Arab Rep.",2013,April,5
Iceland,"Syrian Arab Rep.",2014,August,5
Iceland,"Syrian Arab Rep.",2015,January,2
Iceland,"Syrian Arab Rep.",2015,February,2
Iceland,"Syrian Arab Rep.",2015,April,1
Iceland,"Syrian Arab Rep.",2015,May,2
Iceland,"Syrian Arab Rep.",2015,June,1
Iceland,"Syrian Arab Rep.",2015,July,4
Iceland,"Syrian Arab Rep.",2015,August,6
Iceland,"Syrian Arab Rep.",2015,September,7
Iceland,"Syrian Arab Rep.",2015,October,1
Iceland,"Syrian Arab Rep.",2015,November,1
Iceland,"Syrian Arab Rep.",2015,December,2
Iceland,"Syrian Arab Rep.",2016,January,8
Iceland,"Syrian Arab Rep.",2016,February,*
Iceland,"Syrian Arab Rep.",2016,March,*
Iceland,"Syrian Arab Rep.",2016,April,*
Iceland,"Syrian Arab Rep.",2016,May,5
Iceland,"Syrian Arab Rep.",2016,June,*
Iceland,"Syrian Arab Rep.",2016,July,*
Iceland,"Syrian Arab Rep.",2016,August,*
Iceland,"Syrian Arab Rep.",2016,September,*
Iceland,"Syrian Arab Rep.",2016,October,6
Iceland,"Syrian Arab Rep.",2016,November,*
Iceland,"Syrian Arab Rep.",2016,December,*
Iceland,"Syrian Arab Rep.",2017,January,*
Iceland,"Syrian Arab Rep.",2017,February,*
Iceland,"Syrian Arab Rep.",2017,March,5
Iceland,"Syrian Arab Rep.",2017,April,5
Iceland,"Syrian Arab Rep.",2017,May,7
Iceland,"Syrian Arab Rep.",2017,June,*
Australia,"Syrian Arab Rep.",2010,January,2
Australia,"Syrian Arab Rep.",2010,April,5
Australia,"Syrian Arab Rep.",2010,May,3
Australia,"Syrian Arab Rep.",2010,June,2
Australia,"Syrian Arab Rep.",2010,July,1
Australia,"Syrian Arab Rep.",2010,August,1
Australia,"Syrian Arab Rep.",2010,September,4
Australia,"Syrian Arab Rep.",2010,November,2
Australia,"Syrian Arab Rep.",2010,December,2
Australia,"Syrian Arab Rep.",2011,March,7
Australia,"Syrian Arab Rep.",2011,April,2
Australia,"Syrian Arab Rep.",2011,May,7
Australia,"Syrian Arab Rep.",2011,June,7
Australia,"Syrian Arab Rep.",2011,July,8
Australia,"Syrian Arab Rep.",2011,August,12
Australia,"Syrian Arab Rep.",2011,September,18
Australia,"Syrian Arab Rep.",2011,October,12
Australia,"Syrian Arab Rep.",2011,November,8
Australia,"Syrian Arab Rep.",2011,December,12
Australia,"Syrian Arab Rep.",2012,January,29
Australia,"Syrian Arab Rep.",2012,February,11
Australia,"Syrian Arab Rep.",2012,March,14
Australia,"Syrian Arab Rep.",2012,April,11
Australia,"Syrian Arab Rep.",2012,May,9
Australia,"Syrian Arab Rep.",2012,June,7
Australia,"Syrian Arab Rep.",2012,July,8
Australia,"Syrian Arab Rep.",2012,August,11
Australia,"Syrian Arab Rep.",2012,September,9
Australia,"Syrian Arab Rep.",2012,October,9
Australia,"Syrian Arab Rep.",2012,November,16
Australia,"Syrian Arab Rep.",2012,December,9
Australia,"Syrian Arab Rep.",2013,January,17
Australia,"Syrian Arab Rep.",2013,February,6
Australia,"Syrian Arab Rep.",2013,March,9
Australia,"Syrian Arab Rep.",2013,April,12
Australia,"Syrian Arab Rep.",2013,May,16
Australia,"Syrian Arab Rep.",2013,June,2
Australia,"Syrian Arab Rep.",2013,July,18
Australia,"Syrian Arab Rep.",2013,August,15
Australia,"Syrian Arab Rep.",2013,September,19
Australia,"Syrian Arab Rep.",2013,October,5
Australia,"Syrian Arab Rep.",2013,November,8
Australia,"Syrian Arab Rep.",2013,December,12
Australia,"Syrian Arab Rep.",2014,January,12
Australia,"Syrian Arab Rep.",2014,February,1
Australia,"Syrian Arab Rep.",2014,March,4
Australia,"Syrian Arab Rep.",2014,April,6
Australia,"Syrian Arab Rep.",2014,May,4
Australia,"Syrian Arab Rep.",2014,June,9
Australia,"Syrian Arab Rep.",2014,July,5
Australia,"Syrian Arab Rep.",2014,August,6
Australia,"Syrian Arab Rep.",2014,September,3
Australia,"Syrian Arab Rep.",2014,October,5
Australia,"Syrian Arab Rep.",2014,November,19
Australia,"Syrian Arab Rep.",2014,December,4
Australia,"Syrian Arab Rep.",2015,January,8
Australia,"Syrian Arab Rep.",2015,February,8
Australia,"Syrian Arab Rep.",2015,March,2
Australia,"Syrian Arab Rep.",2015,April,4
Australia,"Syrian Arab Rep.",2015,May,4
Australia,"Syrian Arab Rep.",2015,June,9
Australia,"Syrian Arab Rep.",2015,July,1
Australia,"Syrian Arab Rep.",2015,August,4
Australia,"Syrian Arab Rep.",2015,September,15
Australia,"Syrian Arab Rep.",2015,October,15
Australia,"Syrian Arab Rep.",2015,November,4
Australia,"Syrian Arab Rep.",2015,December,12
Australia,"Syrian Arab Rep.",2016,April,8
Australia,"Syrian Arab Rep.",2016,May,6
Australia,"Syrian Arab Rep.",2016,June,8
Australia,"Syrian Arab Rep.",2016,July,9
Australia,"Syrian Arab Rep.",2016,August,8
Australia,"Syrian Arab Rep.",2016,September,11
Australia,"Syrian Arab Rep.",2016,October,7
Australia,"Syrian Arab Rep.",2016,November,10
Australia,"Syrian Arab Rep.",2016,December,7
Australia,"Syrian Arab Rep.",2017,January,15
Australia,"Syrian Arab Rep.",2017,February,6
Australia,"Syrian Arab Rep.",2017,March,7
Australia,"Syrian Arab Rep.",2017,April,7
Italy,"Syrian Arab Rep.",2010,January,3
Italy,"Syrian Arab Rep.",2010,February,2
Italy,"Syrian Arab Rep.",2010,March,4
Italy,"Syrian Arab Rep.",2010,May,1
Italy,"Syrian Arab Rep.",2010,July,21
Italy,"Syrian Arab Rep.",2010,August,2
Italy,"Syrian Arab Rep.",2010,September,1
Italy,"Syrian Arab Rep.",2010,October,1
Italy,"Syrian Arab Rep.",2010,November,9
Italy,"Syrian Arab Rep.",2010,December,4
Italy,"Syrian Arab Rep.",2011,January,28
Italy,"Syrian Arab Rep.",2011,February,4
Italy,"Syrian Arab Rep.",2011,March,14
Italy,"Syrian Arab Rep.",2011,April,37
Italy,"Syrian Arab Rep.",2011,May,26
Italy,"Syrian Arab Rep.",2011,June,34
Italy,"Syrian Arab Rep.",2011,July,99
Italy,"Syrian Arab Rep.",2011,August,173
Italy,"Syrian Arab Rep.",2011,September,41
Italy,"Syrian Arab Rep.",2011,October,26
Italy,"Syrian Arab Rep.",2011,November,27
Italy,"Syrian Arab Rep.",2011,December,32
Italy,"Syrian Arab Rep.",2012,January,13
Italy,"Syrian Arab Rep.",2012,February,11
Italy,"Syrian Arab Rep.",2012,March,17
Italy,"Syrian Arab Rep.",2012,April,8
Italy,"Syrian Arab Rep.",2012,May,17
Italy,"Syrian Arab Rep.",2012,June,15
Italy,"Syrian Arab Rep.",2012,July,38
Italy,"Syrian Arab Rep.",2012,August,25
Italy,"Syrian Arab Rep.",2012,September,49
Italy,"Syrian Arab Rep.",2012,October,35
Italy,"Syrian Arab Rep.",2012,November,88
Italy,"Syrian Arab Rep.",2012,December,38
Italy,"Syrian Arab Rep.",2013,January,70
Italy,"Syrian Arab Rep.",2013,February,27
Italy,"Syrian Arab Rep.",2013,March,86
Italy,"Syrian Arab Rep.",2013,April,38
Italy,"Syrian Arab Rep.",2013,May,44
Italy,"Syrian Arab Rep.",2013,June,54
Italy,"Syrian Arab Rep.",2013,July,57
Italy,"Syrian Arab Rep.",2013,August,43
Italy,"Syrian Arab Rep.",2013,September,55
Italy,"Syrian Arab Rep.",2013,October,101
Italy,"Syrian Arab Rep.",2013,November,43
Italy,"Syrian Arab Rep.",2013,December,16
Italy,"Syrian Arab Rep.",2014,January,49
Italy,"Syrian Arab Rep.",2014,February,35
Italy,"Syrian Arab Rep.",2014,March,84
Italy,"Syrian Arab Rep.",2014,April,35
Italy,"Syrian Arab Rep.",2014,May,48
Italy,"Syrian Arab Rep.",2014,June,39
Italy,"Syrian Arab Rep.",2014,July,53
Italy,"Syrian Arab Rep.",2014,August,28
Italy,"Syrian Arab Rep.",2014,September,32
Italy,"Syrian Arab Rep.",2014,October,46
Italy,"Syrian Arab Rep.",2014,November,35
Italy,"Syrian Arab Rep.",2014,December,20
Italy,"Syrian Arab Rep.",2015,January,32
Italy,"Syrian Arab Rep.",2015,February,25
Italy,"Syrian Arab Rep.",2015,March,26
Italy,"Syrian Arab Rep.",2015,April,36
Italy,"Syrian Arab Rep.",2015,May,13
Italy,"Syrian Arab Rep.",2015,June,24
Italy,"Syrian Arab Rep.",2015,July,25
Italy,"Syrian Arab Rep.",2015,August,15
Italy,"Syrian Arab Rep.",2015,September,168
Italy,"Syrian Arab Rep.",2015,October,66
Italy,"Syrian Arab Rep.",2015,November,34
Italy,"Syrian Arab Rep.",2015,December,42
Italy,"Syrian Arab Rep.",2016,January,19
Italy,"Syrian Arab Rep.",2016,February,26
Italy,"Syrian Arab Rep.",2016,March,87
Italy,"Syrian Arab Rep.",2016,April,200
Italy,"Syrian Arab Rep.",2016,May,151
Italy,"Syrian Arab Rep.",2016,June,315
Italy,"Syrian Arab Rep.",2016,July,69
Italy,"Syrian Arab Rep.",2016,August,22
Italy,"Syrian Arab Rep.",2016,September,111
Italy,"Syrian Arab Rep.",2016,October,11
Italy,"Syrian Arab Rep.",2016,November,150
Italy,"Syrian Arab Rep.",2016,December,68
Italy,"Syrian Arab Rep.",2017,January,41
Italy,"Syrian Arab Rep.",2017,February,73
Italy,"Syrian Arab Rep.",2017,March,388
Italy,"Syrian Arab Rep.",2017,April,131
Japan,"Syrian Arab Rep.",2011,November,1
Japan,"Syrian Arab Rep.",2011,December,1
Japan,"Syrian Arab Rep.",2012,February,1
Japan,"Syrian Arab Rep.",2012,April,1
Japan,"Syrian Arab Rep.",2012,June,2
Japan,"Syrian Arab Rep.",2012,July,1
Japan,"Syrian Arab Rep.",2012,August,4
Japan,"Syrian Arab Rep.",2012,September,5
Japan,"Syrian Arab Rep.",2012,October,8
Japan,"Syrian Arab Rep.",2012,December,4
Japan,"Syrian Arab Rep.",2013,January,4
Japan,"Syrian Arab Rep.",2013,February,3
Japan,"Syrian Arab Rep.",2013,May,1
Japan,"Syrian Arab Rep.",2013,June,1
Japan,"Syrian Arab Rep.",2013,July,1
Japan,"Syrian Arab Rep.",2013,August,1
Japan,"Syrian Arab Rep.",2013,September,4
Japan,"Syrian Arab Rep.",2013,October,7
Japan,"Syrian Arab Rep.",2013,November,1
Japan,"Syrian Arab Rep.",2013,December,1
Japan,"Syrian Arab Rep.",2014,June,1
Japan,"Syrian Arab Rep.",2014,July,2
Japan,"Syrian Arab Rep.",2014,September,1
Japan,"Syrian Arab Rep.",2014,October,3
Japan,"Syrian Arab Rep.",2014,November,1
Japan,"Syrian Arab Rep.",2015,January,2
Japan,"Syrian Arab Rep.",2015,April,1
Japan,"Syrian Arab Rep.",2015,October,2
Japan,"Syrian Arab Rep.",2016,January,*
Japan,"Syrian Arab Rep.",2016,March,*
Japan,"Syrian Arab Rep.",2016,April,*
Japan,"Syrian Arab Rep.",2016,October,*
Japan,"Syrian Arab Rep.",2017,February,*
Japan,"Syrian Arab Rep.",2017,April,*
"Rep. of Korea","Syrian Arab Rep.",2011,March,2
"Rep. of Korea","Syrian Arab Rep.",2012,March,5
"Rep. of Korea","Syrian Arab Rep.",2012,April,2
"Rep. of Korea","Syrian Arab Rep.",2012,May,8
"Rep. of Korea","Syrian Arab Rep.",2012,June,6
"Rep. of Korea","Syrian Arab Rep.",2012,July,8
"Rep. of Korea","Syrian Arab Rep.",2012,August,16
"Rep. of Korea","Syrian Arab Rep.",2012,September,29
"Rep. of Korea","Syrian Arab Rep.",2012,October,19
"Rep. of Korea","Syrian Arab Rep.",2012,November,27
"Rep. of Korea","Syrian Arab Rep.",2012,December,26
"Rep. of Korea","Syrian Arab Rep.",2013,January,33
